customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,total_orders,total_spend,avg_order_value,avg_discount_pct,return_rate,avg_rating,ticket_count,avg_resolution_hours,avg_sentiment,reopen_rate,snapshot_date_x,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date_y,last_campaign_received,last_campaign_cost,manual_priority_bucket,snapshot_date,churn_next_60d,split
CUST00044,2024-06-11,Tier 2,35-44,Google Search,,Baby Care,Normal,Yes,3,2724.09,908.0300000000001,0.38666666666666666,0.0,4.666666666666667,1.0,46.7,-1.0,1.0,2025-09-30,6,27,2,1,1,4,2,10,2025-09-30,welcome_offer,18,medium,2025-09-30,0,test
CUST00045,2024-08-28,Tier 1,25-34,Referral,,Skin Care,,Yes,1,413.75,413.75,0.33,0.0,4.0,,,,,2025-09-30,6,16,1,1,0,3,1,10,2025-09-30,welcome_offer,25,high,2025-09-30,1,train
CUST00046,2025-04-22,Tier 1,25-34,Referral,Gold,Baby Care,,Yes,1,489.87,489.87,0.13,0.0,3.0,,,,,2025-09-30,7,31,4,2,1,10,0,29,2025-09-30,new_launch,40,high,2025-09-30,1,train
CUST00047,2024-12-26,Tier 1,25-34,Organic,Gold,Baby Care,,Yes,1,764.43,764.43,0.16,0.0,3.0,,,,,2025-09-30,2,9,1,0,0,3,1,36,2025-09-30,free_shipping,0,high,2025-09-30,1,train
CUST00048,2025-03-22,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No,4,2450.45,612.6125,0.3125,0.25,3.25,1.0,30.0,-0.08,0.0,2025-09-30,12,38,2,2,1,0,0,12,2025-09-30,none,25,medium,2025-09-30,0,validation
CUST00049,2025-08-29,Tier 1,25-34,Marketplace,,Hair Care,Oily,Yes,1,380.83,380.83,0.47,0.0,5.0,,,,,2025-09-30,4,13,1,1,1,3,1,0,2025-09-30,new_launch,0,low,2025-09-30,0,train
CUST00050,2025-01-23,Tier 3,25-34,Referral,Gold,Hair Care,,Yes,3,2466.39,822.13,0.3333333333333333,0.3333333333333333,3.0,1.0,57.7,-1.0,0.0,2025-09-30,3,12,1,1,0,3,1,0,2025-09-30,bundle_discount,18,low,2025-09-30,0,train
CUST00051,2024-02-11,Tier 3,35-44,Instagram,,Skin Care,Dry,Yes,4,4444.3,1111.075,0.3525,0.0,4.0,2.0,42.2,-0.385,0.0,2025-09-30,6,32,2,1,1,8,2,35,2025-09-30,new_launch,25,high,2025-09-30,1,train
CUST00052,2024-09-19,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,3,2807.14,935.7133333333333,0.21,0.3333333333333333,3.6666666666666665,1.0,18.7,-1.0,0.0,2025-09-30,7,34,2,1,1,0,0,8,2025-09-30,free_shipping,0,medium,2025-09-30,1,train
CUST00053,2025-01-19,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes,4,4192.59,1048.1475,0.395,0.0,4.25,2.0,47.150000000000006,-0.565,0.5,2025-09-30,9,29,2,2,1,3,1,5,2025-09-30,welcome_offer,0,medium,2025-09-30,0,validation
CUST00054,2025-08-02,Tier 1,35-44,Referral,,Hair Care,Sensitive,Yes,1,489.85,489.85,0.25,0.0,5.0,,,,,2025-09-30,3,12,1,0,0,0,0,0,2025-09-30,welcome_offer,18,low,2025-09-30,0,train
CUST00055,2025-01-05,Tier 3,25-34,Marketplace,,Makeup,,Yes,3,1308.35,436.1166666666666,0.24666666666666667,0.0,4.0,1.0,46.3,-1.0,0.0,2025-09-30,6,32,2,1,1,7,2,0,2025-09-30,new_launch,12,low,2025-09-30,0,train
CUST00056,2025-03-22,Tier 2,35-44,Google Search,,Wellness,Sensitive,No,4,3530.41,882.6025,0.28500000000000003,0.0,3.5,1.0,19.9,-0.08,0.0,2025-09-30,3,15,1,1,1,0,0,0,2025-09-30,new_launch,12,medium,2025-09-30,0,validation
CUST00057,2025-01-23,Tier 2,25-34,Google Search,,Hair Care,Sensitive,Yes,2,2510.83,1255.415,0.245,0.0,4.0,,,,,2025-09-30,7,21,1,0,0,9,1,29,2025-09-30,none,25,high,2025-09-30,1,train
CUST00058,2024-01-11,Tier 1,25-34,Google Search,,Baby Care,Dry,Yes,4,2451.54,612.885,0.23249999999999998,0.0,3.75,,,,,2025-09-30,2,6,1,0,0,8,4,6,2025-09-30,new_launch,25,medium,2025-09-30,0,test
CUST00059,2024-04-05,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes,3,2852.63,950.8766666666667,0.32666666666666666,0.0,4.333333333333333,,,,,2025-09-30,3,11,1,0,0,0,0,2,2025-09-30,new_launch,18,low,2025-09-30,0,test
CUST00060,2025-04-09,Tier 1,25-34,Instagram,,Skin Care,Normal,No,1,293.22,293.22,0.36,0.0,5.0,,,,,2025-09-30,5,26,2,1,0,0,0,20,2025-09-30,none,12,high,2025-09-30,1,train
CUST00061,2024-10-10,Tier 3,35-44,Referral,,Skin Care,Dry,Yes,4,1966.0900000000001,491.52250000000004,0.41,0.0,4.75,1.0,23.6,-0.33,0.0,2025-09-30,4,19,2,0,1,2,1,15,2025-09-30,welcome_offer,18,medium,2025-09-30,0,train
CUST00062,2024-05-09,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes,4,2805.19,701.2975,0.2525,0.0,4.5,1.0,12.6,-0.28,0.0,2025-09-30,9,30,3,2,1,7,1,0,2025-09-30,welcome_offer,12,low,2025-09-30,0,train
CUST00063,2024-12-14,Tier 1,18-24,Influencer,,Fragrance,Combination,Yes,1,397.69,397.69,0.22,0.0,5.0,1.0,19.1,-0.03,0.0,2025-09-30,0,0,0,0,0,3,0,24,2025-09-30,bundle_discount,0,high,2025-09-30,1,train
CUST00064,2025-07-30,Tier 1,45+,Google Search,,Hair Care,Normal,No,1,654.93,654.93,0.43,0.0,4.0,,,,,2025-09-30,8,42,4,1,3,0,0,0,2025-09-30,free_shipping,25,low,2025-09-30,0,test
CUST00065,2025-03-29,Tier 2,25-34,Referral,,Skin Care,,Yes,1,1911.67,1911.67,0.0,0.0,5.0,,,,,2025-09-30,3,18,0,1,0,4,2,0,2025-09-30,bundle_discount,40,low,2025-09-30,0,train
CUST00066,2024-03-24,Tier 1,18-24,Instagram,,Hair Care,Normal,Yes,5,4598.95,919.79,0.292,0.0,3.4,1.0,23.9,-1.0,0.0,2025-09-30,11,35,2,2,1,5,1,60,2025-09-30,bundle_discount,40,high,2025-09-30,1,train
CUST00067,2025-04-09,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes,2,1246.44,623.22,0.19999999999999998,0.5,2.5,1.0,16.4,-0.24,0.0,2025-09-30,1,3,0,0,0,4,2,5,2025-09-30,welcome_offer,40,medium,2025-09-30,1,test
CUST00068,2024-05-25,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes,3,2123.66,707.8866666666667,0.24333333333333332,0.3333333333333333,4.333333333333333,1.0,23.7,-1.0,0.0,2025-09-30,5,18,0,1,0,3,1,60,2025-09-30,bundle_discount,25,high,2025-09-30,1,train
CUST00069,2024-10-05,Tier 2,25-34,Instagram,,Hair Care,Sensitive,Yes,2,874.47,437.235,0.225,0.0,5.0,,,,,2025-09-30,9,48,1,2,0,7,1,0,2025-09-30,bundle_discount,12,low,2025-09-30,1,train
CUST00070,2025-08-12,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes,1,542.98,542.98,0.34,0.0,2.0,,,,,2025-09-30,1,4,0,0,0,1,0,18,2025-09-30,none,18,high,2025-09-30,1,train
CUST00071,2025-08-22,Tier 3,25-34,Influencer,,Hair Care,Sensitive,Yes,1,2062.5,2062.5,0.08,0.0,4.0,1.0,33.0,-0.29,0.0,2025-09-30,1,3,0,0,0,6,2,12,2025-09-30,free_shipping,25,high,2025-09-30,1,train
CUST00072,2024-10-22,Tier 1,35-44,Organic,,Skin Care,Sensitive,Yes,4,2587.02,646.755,0.1925,0.0,3.5,,,,,2025-09-30,7,26,3,2,2,5,1,26,2025-09-30,none,18,high,2025-09-30,1,train
CUST00073,2024-01-02,Tier 2,25-34,Google Search,,Hair Care,Combination,Yes,5,4077.07,815.414,0.154,0.0,3.6,,,,,2025-09-30,7,35,1,0,0,4,1,0,2025-09-30,none,12,low,2025-09-30,0,train
CUST00074,2024-10-21,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes,4,2523.65,630.9125,0.39,0.25,3.5,1.0,29.3,-0.35,0.0,2025-09-30,14,51,3,2,1,2,1,22,2025-09-30,new_launch,40,medium,2025-09-30,0,train
CUST00075,2024-08-18,Tier 3,45+,Referral,,Fragrance,Combination,No,9,6791.61,754.6233333333333,0.3011111111111111,0.0,4.0,4.0,27.125,-0.3525,0.25,2025-09-30,10,43,2,1,1,0,0,13,2025-09-30,none,40,low,2025-09-30,0,train
CUST00076,2025-05-09,Tier 1,45+,Referral,,Wellness,Normal,No,2,1385.27,692.635,0.22000000000000003,0.0,5.0,,,,,2025-09-30,17,78,7,5,4,0,0,8,2025-09-30,bundle_discount,40,low,2025-09-30,0,train
CUST00077,2025-02-28,Tier 3,25-34,Google Search,,Makeup,Normal,Yes,1,394.32,394.32,0.36,0.0,4.0,,,,,2025-09-30,0,0,0,0,0,0,0,20,2025-09-30,welcome_offer,25,high,2025-09-30,1,validation
CUST00078,2025-05-10,Tier 2,25-34,Referral,,Hair Care,Dry,No,1,894.45,894.45,0.42,1.0,1.0,1.0,25.7,-1.0,1.0,2025-09-30,5,13,1,1,0,0,0,38,2025-09-30,welcome_offer,0,high,2025-09-30,1,train
CUST00079,2025-02-24,Tier 2,18-24,Marketplace,Silver,Hair Care,,No,1,619.57,619.57,0.05,0.0,1.0,,,,,2025-09-30,2,8,0,0,0,0,0,31,2025-09-30,none,18,high,2025-09-30,1,train
CUST00080,2024-05-09,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No,3,2563.41,854.4699999999999,0.18999999999999997,0.0,2.6666666666666665,,,,,2025-09-30,11,31,4,1,2,0,0,3,2025-09-30,none,0,medium,2025-09-30,0,train
CUST00081,2024-06-07,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No,8,5311.16,663.895,0.16,0.25,3.625,3.0,17.333333333333332,-0.8333333333333334,0.3333333333333333,2025-09-30,12,63,4,2,1,0,0,0,2025-09-30,bundle_discount,12,low,2025-09-30,0,train
CUST00082,2024-11-20,Tier 3,25-34,Referral,,Baby Care,Dry,Yes,3,1671.25,557.0833333333334,0.17,0.0,2.0,,,,,2025-09-30,7,35,2,1,1,7,3,44,2025-09-30,none,18,high,2025-09-30,1,test
CUST00083,2025-03-20,Tier 2,45+,Marketplace,,Skin Care,Sensitive,No,2,806.87,403.435,0.33499999999999996,0.5,3.5,1.0,11.0,-1.0,1.0,2025-09-30,9,43,2,1,1,0,0,17,2025-09-30,bundle_discount,25,high,2025-09-30,1,train
CUST00084,2025-01-18,Tier 1,25-34,Google Search,Silver,Skin Care,Dry,Yes,1,1273.18,1273.18,0.12,0.0,5.0,,,,,2025-09-30,11,60,5,1,2,3,1,34,2025-09-30,bundle_discount,40,high,2025-09-30,1,train
CUST00085,2025-08-20,Tier 2,18-24,Google Search,,Skin Care,Combination,No,1,1257.8,1257.8,0.2,0.0,5.0,,,,,2025-09-30,8,34,0,1,0,0,0,0,2025-09-30,none,25,low,2025-09-30,1,train
CUST00086,2024-12-19,Tier 1,45+,Influencer,Silver,Hair Care,Sensitive,Yes,5,2195.41,439.082,0.266,0.0,4.2,1.0,6.6,-0.48,0.0,2025-09-30,7,39,2,1,1,5,2,0,2025-09-30,welcome_offer,25,medium,2025-09-30,0,test
CUST00087,2025-08-08,Tier 1,25-34,Marketplace,,Fragrance,Combination,Yes,1,933.58,933.58,0.38,0.0,5.0,,,,,2025-09-30,1,4,0,0,0,0,0,15,2025-09-30,new_launch,18,high,2025-09-30,0,train
CUST00088,2024-02-20,Tier 2,45+,Organic,Gold,Makeup,Dry,Yes,12,6774.5,564.5416666666666,0.365,0.0,4.416666666666667,1.0,17.1,-0.88,1.0,2025-09-30,9,29,2,1,1,1,0,18,2025-09-30,new_launch,25,high,2025-09-30,1,test
CUST00089,2024-05-20,Tier 3,25-34,Marketplace,,Hair Care,Normal,Yes,2,2825.75,1412.875,0.25,0.0,4.0,,,,,2025-09-30,12,40,1,2,0,6,3,31,2025-09-30,none,18,high,2025-09-30,1,train
CUST00090,2025-03-01,Tier 1,18-24,Referral,Platinum,Baby Care,Sensitive,No,4,1966.31,491.5775,0.375,0.0,4.5,1.0,18.5,-0.55,0.0,2025-09-30,5,25,3,1,1,0,0,36,2025-09-30,new_launch,0,high,2025-09-30,0,train
CUST00091,2024-10-29,Tier 1,35-44,Instagram,Platinum,Skin Care,Dry,No,4,3726.87,931.7175,0.16499999999999998,0.0,4.0,1.0,24.2,0.12,0.0,2025-09-30,9,51,5,2,2,0,0,11,2025-09-30,free_shipping,0,high,2025-09-30,0,train
CUST00092,2025-07-24,Tier 3,25-34,Instagram,,Hair Care,,No,1,430.85,430.85,0.26,0.0,4.0,,,,,2025-09-30,1,5,0,0,0,0,0,3,2025-09-30,new_launch,25,high,2025-09-30,0,test
CUST00093,2025-01-15,Tier 1,18-24,Instagram,Gold,Baby Care,Normal,Yes,1,759.64,759.64,0.12,0.0,4.0,,,,,2025-09-30,16,67,7,3,3,9,4,21,2025-09-30,none,0,high,2025-09-30,1,validation
CUST00094,2024-11-05,Tier 1,25-34,Instagram,,Wellness,Oily,Yes,4,3557.43,889.3575,0.1975,0.0,3.5,2.0,4.35,-0.16999999999999998,0.0,2025-09-30,6,20,2,1,1,4,1,60,2025-09-30,new_launch,0,high,2025-09-30,1,validation
CUST00095,2025-07-07,Tier 2,25-34,Instagram,,Skin Care,Combination,Yes,1,372.65,372.65,0.41,0.0,4.0,1.0,5.3,-0.38,1.0,2025-09-30,10,57,1,2,1,2,1,7,2025-09-30,welcome_offer,18,medium,2025-09-30,1,train
CUST00096,2024-08-10,Tier 3,25-34,Organic,,Makeup,Normal,No,3,1563.75,521.25,0.37666666666666665,0.3333333333333333,2.6666666666666665,1.0,32.9,-1.0,0.0,2025-09-30,12,67,2,2,1,0,0,15,2025-09-30,new_launch,0,medium,2025-09-30,0,test
CUST00097,2024-05-05,Tier 3,45+,Instagram,,Baby Care,Oily,Yes,7,4703.46,671.9228571428572,0.3685714285714286,0.14285714285714285,3.5714285714285716,2.0,45.4,-0.49,0.0,2025-09-30,0,0,0,0,0,0,0,0,2025-09-30,new_launch,18,low,2025-09-30,0,train
CUST00098,2024-07-29,Tier 2,18-24,Instagram,,Fragrance,Sensitive,No,2,1843.57,921.785,0.195,0.0,3.5,1.0,26.4,-0.25,0.0,2025-09-30,8,34,0,2,0,0,0,49,2025-09-30,bundle_discount,0,high,2025-09-30,1,train
CUST00099,2024-05-28,Tier 2,45+,Organic,,Fragrance,Dry,Yes,5,3410.87,682.174,0.192,0.0,4.4,1.0,23.3,-0.61,0.0,2025-09-30,4,17,2,1,0,5,2,27,2025-09-30,welcome_offer,25,high,2025-09-30,0,train
CUST00100,2024-06-27,Tier 1,25-34,Referral,,Skin Care,Combination,No,1,372.37,372.37,0.29,0.0,5.0,,,,,2025-09-30,1,3,0,0,0,0,0,29,2025-09-30,bundle_discount,18,high,2025-09-30,0,validation
CUST00101,2024-02-14,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,5,3514.87,702.9739999999999,0.274,0.0,3.8,2.0,28.299999999999997,-0.915,0.0,2025-09-30,2,6,1,0,1,0,0,27,2025-09-30,free_shipping,0,high,2025-09-30,1,train
CUST00102,2025-05-17,Tier 2,35-44,Organic,,Skin Care,Dry,Yes,1,732.65,732.65,0.16,0.0,5.0,,,,,2025-09-30,2,11,1,0,0,1,0,7,2025-09-30,welcome_offer,0,high,2025-09-30,0,train
